time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
3 weeks,A688598,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2014,8,9,True,tortie
2 years,A680868,Cat,domestic longhair,orange /white,,Transfer,Intact Female,Female,No,2,Cat,2012,6,6,True,tabby
2 months,A679031,Cat,domestic shorthair,orange,*Pete,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,3,5,True,tabby
1 year,A665666,Cat,domestic shorthair,black,*Teddy,Transfer,Neutered Male,Male,Yes,1,Cat,2012,10,12,True,
1 year,A684011,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,tabby
1 month,A680380,Cat,domestic shorthair,brown,,Died,Intact Male,Male,No,1,Kitten,2014,5,7,True,tabby
1 week,A685282,Cat,domestic shorthair,cream,,Transfer,Intact Male,Male,No,1,Kitten,2014,7,8,True,tabby
1 year,A684441,Cat,domestic shorthair,brown /white,,Euthanasia,Intact Male,Male,No,1,Cat,2013,7,7,True,tabby
3 weeks,A681828,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,5,6,True,
2 weeks,A688627,Cat,domestic shorthair,cream,,Transfer,Intact Female,Female,No,2,Kitten,2014,9,9,True,tabby
2 months,A686974,Cat,russian blue,blue,*Beau,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,9,False,
5 months,A686736,Cat,domestic shorthair,blue /white,,Transfer,Unknown,Female,Yes,5,Kitten,2014,2,8,True,tabby
15 years,A690326,Cat,domestic shorthair,,Mitzy,Transfer,Spayed Female,Female,Yes,15,Cat,1999,10,10,True,tortie
3 years,A692370,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,3,Cat,2011,11,11,True,tabby
2 years,A686063,Cat,domestic mediumhair,black,,Euthanasia,Neutered Male,Male,Yes,2,Cat,2012,8,8,True,
2 months,A683415,Cat,domestic shorthair,blue /white,Socks,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
2 months,A680129,Cat,siamese,flame,*Hugh,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,False,point
5 months,A688995,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,5,Kitten,2014,4,9,True,tabby
6 years,A650349,Cat,domestic shorthair,,Ethel,Transfer,Spayed Female,Female,Yes,6,Cat,2007,3,12,True,tortie
1 year,A668323,Cat,domestic mediumhair,brown /white,,Transfer,Intact Female,Female,No,1,Cat,2012,12,12,True,tabby
6 days,A674755,Cat,domestic shorthair,blue /white,,Transfer,Intact Female,Female,No,6,Kitten,2014,3,3,True,tabby
7 months,A662943,Cat,domestic shorthair,black,*Harry,Adoption,Neutered Male,Male,Yes,7,Cat,2013,3,10,True,
1 month,A679310,Cat,domestic shorthair,blue/white,,Died,Intact Female,Female,No,1,Kitten,2014,5,7,True,
2 years,A680242,Cat,domestic shorthair,brown,*Darwen,Transfer,Intact Male,Male,No,2,Cat,2012,5,6,True,tabby
2 months,A682044,Cat,domestic shorthair,,*Lizzy,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,5,7,True,calico
2 years,A667357,Cat,domestic shorthair,brown /white,Kit Tay,Transfer,Spayed Female,Female,Yes,2,Cat,2011,11,11,True,tabby
3 weeks,A679451,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,3,Kitten,2014,4,5,True,tabby
1 year,A681101,Cat,domestic shorthair,brown,Spaghetti,Transfer,Spayed Female,Female,Yes,1,Cat,2013,6,6,True,tabby
1 month,A688553,Cat,domestic mediumhair,brown /white,Abby,Adoption,Spayed Female,Female,Yes,1,Kitten,2014,8,10,True,tabby
3 months,A683200,Cat,domestic shorthair,orange /white,Brody,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,5,8,True,tabby
3 weeks,A678051,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,4,5,True,tabby
2 months,A676804,Cat,domestic shorthair,black/white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,3,5,True,
2 months,A691496,Cat,domestic shorthair,,*Juliet,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,12,True,tortie
1 year,A665893,Cat,domestic shorthair,orange,Joey,Return to Owner,Neutered Male,Male,Yes,1,Cat,2013,5,9,True,tabby
15 years,A691626,Cat,domestic shorthair,brown /white,Raja,Euthanasia,Spayed Female,Female,Yes,15,Cat,1999,11,11,True,tabby
4 months,A672194,Cat,domestic shorthair,brown,*Chestnut,Adoption,Neutered Male,Male,Yes,4,Kitten,2014,1,6,True,tabby
1 year,A690804,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,1,Cat,2013,10,10,True,tabby
1 year,A671534,Cat,snowshoe,seal /white,Stella,Adoption,Spayed Female,Female,Yes,1,Cat,2013,1,3,True,point
9 years,A667951,Cat,domestic shorthair,black/white,Duncan,Adoption,Neutered Male,Male,Yes,9,Cat,2004,11,1,True,
10 months,A676084,Cat,domestic shorthair,brown,Ginger,Adoption,Spayed Female,Female,Yes,10,Cat,2013,6,4,True,tabby
3 months,A665425,Cat,domestic shorthair,black,Collins,Adoption,Neutered Male,Male,Yes,3,Kitten,2013,8,11,True,
1 year,A685559,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Cat,2013,8,8,True,tabby
2 months,A678202,Cat,domestic shorthair,brown,*Dolce,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,6,True,tabby
4 months,A688967,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,4,Kitten,2014,5,9,True,tabby
2 months,A679723,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,2,Kitten,2014,3,6,True,tabby
2 years,A671938,Cat,domestic shorthair,,Chloe,Adoption,Spayed Female,Female,Yes,2,Cat,2012,2,2,True,calico
2 weeks,A678385,Cat,domestic mediumhair,,,Transfer,Intact Female,Female,No,2,Kitten,2014,4,5,True,torbie
2 months,A687458,Cat,domestic shorthair,blue,*Baby Blue,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,8,10,True,tabby
3 months,A693770,Cat,domestic shorthair,black,*Ellie,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,9,12,True,
2 years,A678867,Cat,domestic shorthair,black,*Bonnie,Transfer,Spayed Female,Female,Yes,2,Cat,2012,5,7,True,
1 year,A685652,Cat,domestic shorthair,blue/white,,Transfer,Intact Female,Female,No,1,Cat,2013,8,8,True,
2 months,A685062,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
2 months,A690811,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2014,8,10,True,tabby
8 months,A676948,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,8,Cat,2013,8,4,True,torbie
2 months,A665896,Cat,domestic shorthair,orange,*Willow,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,9,12,True,tabby
1 year,A665256,Cat,domestic shorthair,orange /white,Jerry,Euthanasia,Neutered Male,Male,Yes,1,Cat,2012,10,10,True,tabby
2 months,A683328,Cat,domestic longhair,blue/white,Solo,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,
4 months,A668560,Cat,domestic shorthair,white,Powder,Adoption,Neutered Male,Male,Yes,4,Kitten,2013,8,12,True,
14 years,A690327,Cat,domestic shorthair,orange,Rusty,Transfer,Neutered Male,Male,Yes,14,Cat,2000,10,10,True,tabby
1 year,A682828,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,tabby
9 years,A683418,Cat,domestic shorthair,blue/white,Cindy,Transfer,Spayed Female,Female,Yes,9,Cat,2005,7,7,True,
2 months,A664265,Cat,domestic shorthair,brown,*Dixon,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,7,10,True,tabby
2 days,A687690,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,2,Kitten,2014,9,9,True,
2 months,A666536,Cat,domestic shorthair,black,,Euthanasia,Intact Female,Female,No,2,Kitten,2013,9,11,True,
4 weeks,A683875,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,4,Kitten,2014,6,7,True,tabby
3 months,A667606,Cat,domestic shorthair,,*Treasure,Adoption,Spayed Female,Female,Yes,3,Kitten,2013,10,1,True,torbie
2 years,A670007,Cat,domestic shorthair,,,Transfer,Spayed Female,Female,Yes,2,Cat,2011,12,1,True,calico
3 weeks,A686996,Cat,domestic shorthair,orange/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,8,True,
6 months,A677306,Cat,domestic shorthair,brown,,Adoption,Neutered Male,Male,Yes,6,Cat,2014,3,9,True,tabby
2 months,A691704,Cat,domestic shorthair,brown /white,*Zander,Transfer,Intact Male,Male,No,2,Kitten,2014,9,11,True,tabby
2 years,A668743,Cat,domestic shorthair,black,*Suzanne,Adoption,Spayed Female,Female,Yes,2,Cat,2011,12,12,True,
2 months,A679315,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,6,True,torbie
1 month,A685106,Cat,domestic shorthair,brown,*Larkspur,Adoption,Neutered Male,Male,Yes,1,Kitten,2014,7,9,True,tabby
3 years,A671528,Cat,domestic shorthair,white,,Transfer,Neutered Male,Male,Yes,3,Cat,2011,1,1,True,
1 month,A684965,Cat,domestic shorthair,,*Ryan,Transfer,Intact Female,Female,No,1,Kitten,2014,7,8,True,tortie
3 weeks,A665611,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2013,9,10,True,tabby
1 year,A679487,Cat,domestic shorthair,black/white,,Transfer,Unknown,Female,Yes,1,Cat,2013,5,5,True,
3 weeks,A665609,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2013,9,10,True,tabby
1 year,A648775,Cat,domestic shorthair,,Daisy,Transfer,Spayed Female,Female,Yes,1,Cat,2013,1,11,True,calico
1 year,A685358,Cat,domestic shorthair,blue /white,,Transfer,Unknown,Female,Yes,1,Cat,2013,8,8,True,tabby
2 months,A687137,Cat,domestic shorthair,blue,*Nigel,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,8,10,True,
1 year,A677278,Cat,domestic shorthair,brown /white,*Biskit,Transfer,Spayed Female,Female,Yes,1,Cat,2013,4,5,True,tabby
3 months,A666109,Cat,domestic shorthair,orange /white,*Tom,Adoption,Neutered Male,Male,Yes,3,Kitten,2013,7,10,True,tabby
4 years,A685417,Cat,domestic shorthair,black/white,Willie,Return to Owner,Neutered Male,Male,Yes,4,Cat,2010,8,8,True,
3 weeks,A676705,Cat,domestic mediumhair,blue,,Transfer,Intact Female,Female,No,3,Kitten,2014,4,4,True,tabby
5 months,A668705,Cat,domestic shorthair,flame,Moe,Adoption,Neutered Male,Male,Yes,5,Kitten,2013,7,12,True,point
2 months,A681986,Cat,domestic shorthair,blue/white,Boomer,Transfer,Intact Male,Male,No,2,Kitten,2014,4,6,True,
8 months,A692355,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,8,Cat,2014,3,11,True,torbie
13 years,A679797,Cat,domestic shorthair,orange,Genevieve,Transfer,Intact Female,Female,No,13,Cat,2001,5,6,True,tabby
7 months,A690075,Cat,siamese,lilac,,Transfer,Intact Male,Male,No,7,Cat,2014,2,10,False,point
2 months,A685145,Cat,domestic mediumhair,blue/white,*Mundy,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,7,9,True,
5 months,A682065,Cat,domestic shorthair,black,Baby,Euthanasia,Intact Female,Female,No,5,Kitten,2013,12,6,True,
1 week,A676400,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Kitten,2014,4,4,True,tortie
4 months,A686224,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,4,Kitten,2014,4,8,True,tabby
1 week,A687766,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Kitten,2014,9,9,True,calico
2 months,A678376,Cat,domestic shorthair,blue,,Died,Intact Female,Female,No,2,Kitten,2014,3,5,True,
4 years,A689989,Cat,manx,cream,Solo,Return to Owner,Neutered Male,Male,Yes,4,Cat,2010,10,10,False,tabby
4 weeks,A677364,Cat,siamese,lynx,*Arwen,Transfer,Intact Female,Female,No,4,Kitten,2014,3,4,False,point
2 months,A674736,Cat,domestic shorthair,orange,*Barbara,Adoption,Intact Female,Female,No,2,Kitten,2014,3,5,True,tabby
1 month,A683139,Cat,domestic shorthair,orange,*Bobby,Transfer,Intact Male,Male,No,1,Kitten,2014,5,7,True,tabby
2 weeks,A682974,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,2,Kitten,2014,6,7,True,
3 months,A685096,Cat,domestic shorthair,orange,,Transfer,Unknown,Female,Yes,3,Kitten,2014,4,8,True,tabby
2 months,A689765,Cat,domestic shorthair,brown /white,*Heath,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,7,10,True,tabby
2 months,A682286,Cat,domestic shorthair,,*Seven,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,tortie
1 month,A683526,Cat,domestic mediumhair,blue /white,,Transfer,Intact Male,Male,No,1,Kitten,2014,6,7,True,tabby
1 year,A686812,Cat,siamese,seal,Sy,Adoption,Neutered Male,Male,Yes,1,Cat,2013,3,8,False,point
1 day,A664641,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Kitten,2013,10,10,True,tortie
8 months,A691439,Cat,domestic shorthair,blue,,Transfer,Unknown,Female,Yes,8,Cat,2014,3,11,True,
1 year,A690004,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,1,Cat,2013,10,10,True,smoke
9 years,A672404,Cat,domestic shorthair,,*Goldie,Transfer,Spayed Female,Female,Yes,9,Cat,2005,2,2,True,tortie
3 months,A686312,Cat,domestic shorthair,black,,Euthanasia,Intact Female,Female,No,3,Kitten,2014,5,8,True,
2 years,A680478,Cat,domestic longhair,blue/white,Binx,Transfer,Spayed Female,Female,Yes,2,Cat,2011,12,9,True,
5 years,A676657,Cat,domestic shorthair,,Kylie,Transfer,Spayed Female,Female,Yes,5,Cat,2009,4,4,True,calico
2 years,A674895,Cat,domestic shorthair,brown /white,Jazzper,Return to Owner,Intact Female,Female,No,2,Cat,2012,3,3,True,tabby
2 weeks,A688029,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,2,Kitten,2014,8,9,True,tabby
1 month,A690927,Cat,domestic shorthair,black,,Euthanasia,Intact Female,Female,No,1,Kitten,2014,8,10,True,
4 years,A691788,Cat,siamese,seal,George,Transfer,Neutered Male,Male,Yes,4,Cat,2010,11,11,False,point
2 years,A682485,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,2,Cat,2012,6,6,True,tabby
2 weeks,A674521,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,2,Kitten,2014,2,3,True,
2 weeks,A677685,Cat,domestic mediumhair,,,Transfer,Intact Female,Female,No,2,Kitten,2014,4,4,True,tortie
1 year,A683233,Cat,domestic shorthair,brown /white,*Lucas,Transfer,Neutered Male,Male,Yes,1,Cat,2013,7,8,True,tabby
2 months,A690904,Cat,domestic shorthair,blue,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,8,10,True,tabby
10 years,A662170,Cat,domestic shorthair,brown,Felix,Adoption,Neutered Male,Male,Yes,10,Cat,2004,1,1,True,tabby
2 months,A662761,Cat,domestic shorthair,brown /white,Petunia,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,8,10,True,tabby
1 week,A687528,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,1,Kitten,2014,8,9,True,tabby
1 month,A691437,Cat,domestic shorthair,brown /white,*Philippe,Euthanasia,Intact Male,Male,No,1,Kitten,2014,10,11,True,tabby
5 months,A685647,Cat,domestic shorthair,brown,Garbage,Adoption,Neutered Male,Male,Yes,5,Kitten,2014,4,9,True,tabby
1 year,A687936,Cat,domestic shorthair,,Isis,Transfer,Intact Female,Female,No,1,Cat,2013,9,9,True,calico
3 months,A682304,Cat,domestic shorthair,black,,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,3,6,True,
4 months,A686093,Cat,domestic shorthair,brown /white,Mouse,Transfer,Spayed Female,Female,Yes,4,Kitten,2014,4,8,True,tabby
2 months,A669478,Cat,domestic shorthair,orange,Ginger Peace,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,10,1,True,tabby
5 days,A687684,Cat,domestic shorthair,white/blue,,Transfer,Unknown,Female,Yes,5,Kitten,2014,9,9,True,
1 month,A680397,Cat,domestic shorthair,blue,*Walt,Transfer,Intact Male,Male,No,1,Kitten,2014,5,6,True,
7 years,A664494,Cat,domestic longhair,,*Flower,Adoption,Spayed Female,Female,Yes,7,Cat,2006,10,10,True,tortie
2 years,A665549,Cat,domestic shorthair,white/brown,Bella,Adoption,Spayed Female,Female,Yes,2,Cat,2011,10,11,True,tabby
6 years,A495792,Cat,domestic shorthair,white/brown,Macintosh,Adoption,Neutered Male,Male,Yes,6,Cat,2007,10,8,True,tabby
2 months,A666661,Cat,domestic shorthair,white/black,*Darwin,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,9,12,True,
2 months,A669137,Cat,domestic shorthair,,*Minnie,Adoption,Intact Female,Female,No,2,Kitten,2013,10,12,True,torbie
2 months,A689901,Cat,domestic shorthair,black/white,*Leroy,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,8,11,True,
2 weeks,A684384,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,2,Kitten,2014,7,7,True,tabby
3 months,A683578,Cat,domestic shorthair,cream,,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,4,7,True,tabby
3 weeks,A690566,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,3,Kitten,2014,9,10,True,tabby
1 weeks,A686525,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Kitten,2014,8,8,True,tabby
2 weeks,A687663,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,2,Kitten,2014,8,9,True,tabby
3 weeks,A683040,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,6,7,True,tabby
1 year,A673569,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,1,Cat,2013,2,2,True,
4 years,A682446,Cat,domestic shorthair,brown,Crybaby,Adoption,Neutered Male,Male,Yes,4,Cat,2010,6,7,True,tabby
2 months,A681476,Cat,domestic shorthair,white/orange,Skittles,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
3 months,A677836,Cat,domestic shorthair,black/white,,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,3,7,True,
3 weeks,A693716,Cat,domestic shorthair,cream,,Transfer,Intact Male,Male,No,3,Kitten,2014,11,12,True,
1 year,A635769,Cat,domestic shorthair,brown /white,,Return to Owner,Spayed Female,Female,Yes,1,Cat,2012,5,10,True,tabby
2 years,A682764,Cat,domestic shorthair,blue,Tica,Return to Owner,Spayed Female,Female,Yes,2,Cat,2012,7,7,True,tabby
3 weeks,A686932,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,8,True,
2 months,A668562,Cat,domestic shorthair,orange,Prof Butters,Adoption,Intact Female,Female,No,2,Kitten,2013,10,12,True,tabby
2 months,A664658,Cat,domestic shorthair,brown /white,*Trey,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,8,11,True,tabby
1 weeks,A678103,Cat,domestic shorthair,buff,,Transfer,Intact Male,Male,No,1,Kitten,2014,4,5,True,
1 year,A669591,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,1,Cat,2012,12,12,True,
3 years,A670044,Cat,domestic shorthair,blue,,Euthanasia,Intact Male,Male,No,3,Cat,2011,1,1,True,
3 months,A683766,Cat,domestic shorthair,brown,Scout,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,4,8,True,tabby
4 weeks,A666071,Cat,domestic shorthair,brown,*June,Transfer,Intact Female,Female,No,4,Kitten,2013,9,10,True,tabby
8 months,A671437,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,8,Cat,2013,5,1,True,tabby
3 months,A664071,Cat,domestic shorthair,white/black,,Transfer,Neutered Male,Male,Yes,3,Kitten,2013,7,10,True,
2 months,A682681,Cat,domestic shorthair,black/white,,Transfer,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,
3 years,A691445,Cat,domestic shorthair,black,Ash,Transfer,Neutered Male,Male,Yes,3,Cat,2011,11,11,True,
3 months,A689447,Cat,domestic shorthair,black/white,*Izzy,Died,Intact Female,Female,No,3,Kitten,2014,9,12,True,
1 year,A686724,Cat,domestic shorthair,blue,*Pudding,Adoption,Spayed Female,Female,Yes,1,Cat,2013,8,9,True,tabby
2 months,A669363,Cat,domestic longhair,white/black,Stephanie,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,10,1,True,
1 month,A682868,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,1,Kitten,2014,5,7,True,tabby
4 months,A680091,Cat,domestic shorthair,,*Chloe,Adoption,Spayed Female,Female,Yes,4,Kitten,2014,1,6,True,tortie
2 months,A662820,Cat,domestic shorthair,black,*Indigo,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,7,10,True,
1 month,A664211,Cat,domestic mediumhair,blue,*Arnold,Transfer,Intact Male,Male,No,1,Kitten,2013,8,10,True,tabby
1 month,A692267,Cat,domestic shorthair,black,*Bastet,Died,Intact Male,Male,No,1,Kitten,2014,10,11,True,
6 years,A672295,Cat,domestic longhair,brown,,Transfer,Intact Male,Male,No,6,Cat,2008,2,2,True,tabby
1 week,A685368,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Kitten,2014,7,8,True,calico
2 years,A680257,Cat,domestic shorthair,blue /black,,Euthanasia,Intact Male,Male,No,2,Cat,2012,5,5,True,tabby
2 months,A684609,Cat,domestic shorthair,white/blue,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,5,7,True,
2 months,A689905,Cat,domestic shorthair,black,*Benny,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,8,11,True,
6 years,A671476,Cat,russian blue,blue,Smokey,Transfer,Spayed Female,Female,Yes,6,Cat,2008,1,2,False,
4 months,A673606,Cat,domestic shorthair,blue,Gracie,Adoption,Spayed Female,Female,Yes,4,Kitten,2013,12,5,True,tabby
2 months,A678783,Cat,domestic shorthair,black,Ethel,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,3,6,True,
4 months,A669227,Cat,domestic shorthair,brown /white,,Transfer,Unknown,Female,Yes,4,Kitten,2013,8,12,True,tabby
5 months,A677087,Cat,domestic shorthair,orange /white,*Marco,Adoption,Neutered Male,Male,Yes,5,Kitten,2014,4,9,True,tabby
2 weeks,A674636,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2014,3,3,True,tabby
2 years,A679010,Cat,angora,white,Chrissy,Transfer,Intact Female,Female,No,2,Cat,2012,5,5,True,
1 month,A678670,Cat,domestic shorthair,brown,Chiquita,Adoption,Spayed Female,Female,Yes,1,Kitten,2014,5,7,True,tabby
1 year,A668896,Cat,domestic shorthair,black/white,Sofie,Return to Owner,Spayed Female,Female,Yes,1,Cat,2012,7,12,True,
2 months,A685063,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
3 weeks,A687726,Cat,domestic shorthair,blue/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,9,True,
8 months,A683471,Cat,domestic shorthair,black/white,Frida,Adoption,Spayed Female,Female,Yes,8,Cat,2013,11,7,True,
2 months,A681904,Cat,domestic mediumhair,black/white,Izzy,Adoption,Intact Female,Female,No,2,Kitten,2014,4,6,True,
